,train,valid
545,2.968903921,8.89699173
546,3.138664432,9.747142792
547,2.964932472,6.639231682
548,3.019274749,6.981519222
549,2.969551522,8.043978691
550,3.019401582,10.28631878
551,3.034338065,8.3446455
552,2.993831109,9.086367607
553,2.99133978,7.15188694
554,3.054072469,8.473545074
555,3.092731064,8.552463531
556,2.992421047,10.90991688
557,2.925409072,6.403861523
558,3.122617933,7.171278954
559,3.027553247,12.52226353
560,3.174763596,7.543919086
561,2.97637519,8.176198006
562,2.913260787,7.383629799
563,2.97661363,9.917157173
564,3.088935708,7.58332777
565,2.999678675,7.365877151
566,3.028722584,9.148160934
567,2.954523272,8.210601807
568,2.956720767,7.267267227
569,2.884079798,9.036758423
570,2.975374206,13.84263802
571,3.213328791,9.235091209
572,3.011105747,7.413691044
573,2.946356639,6.93606329
574,2.898544615,6.190439701
575,3.088876746,7.966418743
576,2.949093139,8.637684822
577,2.916017798,6.853549957
578,2.999320638,7.542768478
579,2.990474912,10.72083092
580,3.041984377,8.007884979
581,3.044501373,7.772337914
582,3.028755392,9.323511124
583,3.136479748,7.246897697
584,2.913454577,8.158171654
585,3.040603921,8.513725281
586,3.002156978,5.878222942
587,2.994718947,7.583482742
588,2.940318777,10.7068758
589,2.948276662,9.964655876
590,2.993102557,7.837090492
591,2.98210425,6.31758976
592,3.034198179,7.080042362
593,3.052509157,6.802529812
594,2.920465481,8.862891197
595,2.981634477,8.418509483
596,3.005992662,10.81949139
597,3.040182323,7.342850685
598,2.91460926,7.2218647
599,3.004566756,10.4234972
600,2.899668476,7.008721352
601,2.937394601,8.705461502
602,3.059327867,6.137690544
603,3.116250995,5.946231365
604,3.044500418,6.788078308
605,3.058669326,6.168996334
606,3.04987472,8.226523399
607,3.029046885,10.23306084
608,3.028089584,9.371180534
609,2.906193063,6.86217165
610,2.931341872,9.069479942
611,2.929659298,7.937203884
612,2.973878675,8.683599472
613,3.040280577,6.762240887
614,2.928148399,9.145432472
615,2.923546083,8.035351753
616,2.992420681,6.594437122
617,2.950975461,10.71862602
618,3.063471537,6.237370014
619,3.053401124,7.100193977
620,2.859151772,8.197214127
621,3.045993335,8.9572649
622,3.068797875,6.521519184
623,2.923213782,7.208130836
624,2.934118914,8.792793274
625,2.890788074,7.345662594
626,2.959576482,7.171988487
627,2.961977296,8.805583
